؋	ಅಫ್ಗಾನ аф್ಗಾನಿ
l	ಅಲ್ಬೇನಿಯನ್ ಲೆಕ್
دج	ಅಲ್ಜೀರಿಯನ್ ದಿನಾರ್
kz	ಅಂಗೋಲಿನ್ ಕ್ವಾನ್‌ಝಾ
aed	ಅರಬ್ ಅಮೀರಾತ್ ದಿರಹಮ್
$	ಅರ್ಜೆಂಟೀನಿಯನ್ ಪೆಸೋ
֏	ಆರ್ಮೇನಿಯನ್ ಡ್ರಾಮ್
ƒ	ಅರೂಬನ್ ಫ್ಲೋರಿನ್
a$	ಆಸ್ಟ್ರೇಲಿಯನ್ ಡಾಲರ್
₼	ಅಜರ್ಬೈಜಾನಿ ಮನಾಟ್
b$	ಬಹಾಮಿಯನ್ ಡಾಲರ್
.د.ب	ಬಹರೈನಿ ದಿರಹಮ್
৳	ಬಾಂಗ್ಲಾದೇಶಿ ಟಕಾ
$	ಬಾರ್ಬೇಡಿಯನ್ ಡಾಲರ್
br	ಬೆಲಾರುಸಿಯನ್ ರೂಬಲ್
bz$	ಬೆಲೀಜ್ ಡಾಲರ್
$	ಬರ್ಮುಡಿಯನ್ ಡಾಲರ್
nu	ಭೂತಾನಿ ಙುಲ್ತ್ರುಮ್
₿	ಬಿಟ್‌ಕಾಯಿನ್
bs	ಬೋಲಿವಿಯನ್ ಬೋಲಿವಿಯಾನೋ
km	ಬೋಸ್‌ನಿಯಾ ಮತ್ತು ಹರ್ಜೆಗೋವಿನಾ ಮಾರ್ಕ್
p	ಬೋತ್ಸವಾನಾ ಪುಲಾ
r$	ಬ್ರೆಜೀಲು ಪ್ರಿಯಾಲ್
£	ಬ್ರಿಟಿಷ್ ಪೌಂಡ್
£	ಪೌಂಡ್
b$	ಬ್ರೂನೇಯಿ ಡಾಲರ್
лв	ಬುಲ್ಗೇರಿಯನ್ ಲೇವ್
fbu	ಬುರುಂಡಿ ಫ್ರಾಂಕ್
៛	ಕಾಂಬೋಡಿಯನ್ ರಿಯಲ್
ca$	ಕನಡಾ ಡಾಲರ್
cve	ಕೇಪ್ ವರ್ಡೆ ಎಸ್ಕುಡೋ
cve	ಕೇಪ್ ವರ್ಡಿಯನ್ ಎಸ್ಕುಡೋ
ci$	ಕೇಮನ್ ಐಲ್ಯಾಂಡ್ ಡಾಲರ್
cfa	ಸಿಎಫ್ಏ ಫ್ರಾಂಕ್
$	ಚಿಲಿ ಪೆಸೋ
元	ಚೀನಾ ಯುಯಾನ್
$	ಕೋಲಂಬಿಯನ್ ಪೆಸೋ
cf	ಕೊಮೋರಿ ಫ್ರಾಂಕ್
fc	ಕಾಂಗೋಲಿಸ್ ಫ್ರಾಂಕ್
₡	ಕೋಸ್ಟಾ ರಿಕಾ ಕೋಲನ್
kn	ಕ್ರೋएಶಿಯನ್ ಕುನಾ
cuc$	ಕ್ಯೂಬನ್ ಪೆಸೋ
cyp	ಸೈಪ್ರಸ್ ಪೌಂಡ್
kč	ಚೇಕ್ ಕೊರೋನ
d	ಡಾಲಸಿ
kr	ಡೆನಿಷ್ ಕ್ರೋನ್
fdj	ಜಿಬೂತಿ ಫ್ರಾಂಕ್
$	ಡಾಲರ್
rd$	ಡೊಮಿನಿಕನ್ ಪೆಸೋ
$	ಪೂರ್ವ ಕೇರಿಬಿಯನ್ ಡಾಲರ್
e£	ಮಿಸ್ರೀ ಪೌಂಡ್
aed	ಅಮೀರಾತಿ ದಿರಹಮ್
nkf	ಇರಿತ್ರಿಯನ್ ನಕ್ಫಾ
Ξ	ಇಥೀರಿಯಮ್
br	ಈಥಿಯೋಪಿಯನ್ ಬಿರ್ಕ್
€	ಯೂರೋ
fk£	ಫಾಲ್ಕ್ಲ್ಯಾಂಡ್ ಐಲ್ಯಾಂಡ್ ಪೌಂಡ್
fim	ಫಿನ್ನಿಷ್ ಮಾರ್ಕ್ಕಾ
₾	ಜಾರ್ಜಿಯನ್ ಲಾರಿ
dm	ಜರ್ಮನ್ ಮಾರ್ಕ್
gh₵	ಘಾನಿಯನ್ ಸೇಡಿ
q	ಗ್ವಾಟೆಮಾಲನ್ ಕೇಟ್ಜಲ್
fg	ಗಿನಿ ಫ್ರಾಂಕ್
g$	ಗಯಾನಿ ಡಾಲರ್
g	ಹೈತಿ ಗೋರ್ಡ್
l	ಹೋಂಡುರಾಸ್ ಲೆಂಪಿರಾ
hk$	ಹಾಂಗ್ ಕಾಂಗ ಡಾಲರ್
ft	ಹಂಗೇರಿಯನ್ ಫೋರೆಂಟ
íkr	ಐಸ್ಲ್ಯಾಂಡಿಕ್ ಕ್ರೋನ
₹	ಭಾರತೀಯ ರೂಪಾಯಿ
₹	ರೂಪಾಯಿ
₹	ರೂಪಿಯಾ
₹	ರೂಪೇಯ
₹	ರೂಪಾಯಿ
₹	ರೂಪಾಯ
p	ಪೈಸ
p	ಪೈಸೆ
rp	ಇಂಡೋನೇಶಿಯನ್ ರೂಪಿಯಾ
﷼	ಇರಾನಿ ರಿಯಾಲ
ع.د	ಇರಾಕಿ ದಿನಾರ್
₪	ಇಸ್ರೇಲಿಯ ನವ ಶೇಕೆಲ್
₪	ಇಸ್ರೇಲಿ ಶೇಕೆಲ್
j$	ಜಮೈಕನ್ ಡಾಲರ್
¥	ಜಪಾನಿ ಯೆನ್
ينار	ಜೋರ್ಡಾನ್ ದಿನಾರ್
₸	ಕಜಕಿಸ್ತಾನಿ ತೆಂಗೆ
ksh	ಕೆನ್ಯಾ ಶಿಲಿಂಗ್
ك	ಕುವೈತಿ ದಿನಾರ್
k	ಕ್ಯಾತ್
som	ಕಿರ್ಗಿಜ್‌ಸ್ತಾನಿ ಸೋಮ್
₭	ಲಾವೋ ಕಿಪ್
ლარი	ಲಾರಿ
ل.ل	ಲೇಬನಾನ್ ಪೌಂಡ್
l	ಲೇಸೋಥೋ ಲೊಟಿ
ld$	ಲೈಬೀರಿಯನ್ ಡಾಲರ್
ld	ಲಿಬಿಯನ ದಿನಾರ್
l	ಲಿಲಾಂಗೆನಿ
ł	ಲೈಟ್ಕಾಯಿನ್
mop$	ಮಕಾವು ಪಾಟಾಕಾ
ar	ಮಲಾಗಾಸಿಯನ್ ಎರೀಯಾರಿ
k	ಮಲಾವಿಯನ್ ಕ್ವಾಚಾ
rm	ಮಲೆಶಿಯನ್ ರಿಂಗ್‌ಗಿಟ್
rf	ಮಾಲ್ಡಿವಿಯನ್ ರೂಫಿಯಾ
mro	ಮೋರೆಟೇನಿಯನ್ ಆಗೈಯಾ
₨	ಮೋರಿಷಿಯನ್ ರೂಪಾಯಿ
$	ಮೆಕ್ಸಿಕನ್ ಪೆಸೋ
l	ಮೋಲ್ಡೋವನ್ ಲ್ಯೂ
ɱ	ಮೋನಿರೋ
₮	ಮಂಗೋಲಿಯನ್ ಟೊಗ್ರೋಗ್
dh	ಮೋರಾಕ್ಕೋ ದಿರಹಮ್
mt	ಮೋಝಾಂಬಿಕನ್ ಮೇಟಿಕಲ್
n$	ನಾಮೀಬಿಯನ್ ಡಾಲರ್
rs	ನೆಪಾಳಿಯ ರೂಪಾಯಿ
ƒ	ನидерಲ್ಯಾಂಡ್ ಎಂಟಿಲಿಯನ್ ಗಿಲ್ಡರ್
nt$	ಹೊಸ ತಾಯ್ವಾನ್ ಡಾಲರ್
nz$	ಹೊಸ ಜೀಲ್ಯಾಂಡ್ ಡಾಲರ್
c$	ನಿಕಾರಾಗುವನ ಕೋರ್ಡೋಬಾ
₦	ನೈಜೀರಿಯನ್ ನೈರಾ
₩	ಉತ್ತರ ಕೊರಿಯಾದ ವೋನ್
kr	ನಾರ್ವೇಜಿಯನ್ ಕ್ರೋನ
ر.ع	ಓಮಾನಿ ರಿಯಾಲ
um	ಆಗಿಯಾಯ
pkr	ಪಾಕಿಸ್ತಾನಿ ರೂಪಾಯಿ
b/.	ಪನಾಮನ್ ಬಾಲ್ಬೋಾ
₲	ಪರ Paraguayan ಗ್ವರಾನಿ
s/.	ಪೆರುವಿಯನ್ ಸೊಲ್
₱	ಫಿಲಿಪೀನ್ ಪೆಸೋ
zł	ಪೋಲಿಷ್ ಝ್ಲೋಟಿ
£	ಪೌಂಡ್ ಸ್ಟರ್ಲಿಂಗ್
ر.ق	ಕತಾರ್ ರಿಯಾಲ
£	ಕ್ವಿಡ್
r	ರಿಯಾಲ
xrp	ರಿಪಲ್‌ಗಳು
lei	ರೋಮೇನಿಯನ್ ಲ್ಯೂ
₹	ರೂಪಾಯಿ
₽	ರಷ್ಯನ್ ರೂಬಲ್
r₣	ರವಾಂಡಾ ಫ್ರಾಂಕ್
shp	ಸೆಂಟ್ ಹೆಲೆನಾ ಪೌಂಡ್ಸ್
db	ಸಾವೋ ಟೋಮೆ ಮತ್ತು ಪ್ರಿಂಸಿಪೆ ದೋಬ್ರಾ
sar	ಸೌದಿ ರಿಯಾಲ
ден	ಮ್ಯಾಸೆಡೋನಿಯನ್ ದಿನಾರ್
rsd	ಸರ್ಬಿಯಾ ದಿನಾರ್
scr	ಸೆಶೆಲ್ಸ್ ರೂಪಾಯಿ
le	ಸಿಯರಾ ಲಿಯೋನೇಯನ್ ಲಿಯೋನ್
s$	ಸಿಂಗಾಪುರ ಡಾಲರ್
sh.so.	ಸೋಮಾಲಿಯನ್ ಶಿಲಿಂಗ್
tjs	ಸೋಮೋನಿ
r	ದಕ್ಷಿಣ ಆಫ್ರಿಕನ್ ರ್ಯಾಂಡ್
₩	ದಕ್ಷಿಣ ಕೊರಿಯಾದ ವೋನ್
ss£	ದಕ್ಷಿಣ ಸುಡಾನಿ ಪೌಂಡ್
රු	ಶ್ರೀಲಂಕನ್ ರೂಪಾಯಿ
sdg	ಸುಡಾನಿ ಪೌಂಡ್
sr$	ಸುरीनಾಮಿ ಡಾಲರ್
kr	ಸ್ವೀಡಿಷ್ ಕ್ರೋನ
chf	ಸ್ವಿಸ್ ಫ್ರಾಂಕ್
£s	ಸಿರಿಯಾನ್ ಪೌಂಡ್
৳	ಟಕಾ
৳	ಟಕೆ
tzs	ತಂಜಾನಿಯನ್ ಶಿಲಿಂಗ್
₮	ಟೆಥರ್
฿	ಥಾಯ್ ಬಾತ್
tt$	ತ್ರಿನಿಡಾಡ್ ಮತ್ತು ಟೋಬಾಗೋ ಡಾಲರ್
د.ت	ಟ್ಯೂನಿಷಿಯನ್ ದಿನಾರ್
₺	ತುರ್ಕಿಷ್ ಲಿರಾ
m	ತುರ್ಕಮೆನ ಹೊಸ ಮನಾಟ್
ush	ಯುಗಾಂಡಾ ಶಿಲಿಂಗ್
₴	ಯುಕ್ರೆನಿಯನ್ ಗ್ರಿವ್ನಾ
$	ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್ ಡಾಲರ್
$u	ಉರುಗ್ವೇ ಪೆಸೋ
$	ಅಮೆರಿಕನ್ ಡಾಲರ್
$	ಡಾಲರ್
som	ಉಝ್ಬೇಕಿಸ್ತಾನ್ ಸೋಮ್
bs.	ವೆನೆಝುಲನ್ ಬಾಲಿವರ್
₫	ವಿಯಟ್ನಾಮೀಸ್ ಡಾಂಗ್
₩	ವೋನ್
₩	ವಾನ್
﷼	ಯೆಮೆನೀ ರಿಯಾಲ
¥	ಯೆನ್
₺	ಲೀರಾ
₦	ನೈರಾ
¢	ಸೆಂಟ್ಸ್
¢	ಸೆಂಟ್
