°C	ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್  
°F	ಡಿಗ್ರಿ ಫಾರೆನ್‌ಹೀಟ್  
K	ಕೆಲ್ವಿನ್  
g	ಗ್ರಾಂ  
kg	ಕಿಲೋಗ್ರಾಂ  
mg	ಮಿಲಿಗ್ರಾಂ  
cg	ಸೆಂಟಿಗ್ರಾಂ  
dg	ಡೆಸಿಗ್ರಾಂ  
Tg	ಟೆರಾಗ್ರಾಂ  
Mg	ಮೆಗಾಗ್ರಾಂ  
Gg	ಗಿಗಾಗ್ರಾಂ  
hg	ಹೆಕ್ಟೋಗ್ರಾಂ  
dag	ಡೆಕಾಗ್ರಾಂ  
lb	ಪೌಂಡ್  
oz	ಔನ್ಸ್  
t	ಟನ್  
st	ಸ್ಟೋನ್  
q	ಕ್ವಿಂಟಲ್  
m	ಮೀಟರ್  
cm	ಸೆಂಟಿಮೀಟರ್  
mm	ಮಿಲಿಮೀಟರ್  
km	ಕಿಲೋಮೀಟರ್  
dm	ಡೆಸಿಮೀಟರ್  
dam	ಡೆಕಾಮೀಟರ್  
nm	ನ್ಯಾನೋಮೀಟರ್  
hm	ಹೆಕ್ಟೋಮೀಟರ್  
Mm	ಮೆಗಾಮೀಟರ್  
my	ಮಿರಿಯಾಮೀಟರ್  
mi	ಮೈಲು  
ft	ಅಡಿ  
in	ಇಂಚು  
yd	ಗಜ  
µm	ಮೈಕ್ರೋಮೀಟರ್  
m²	ವರ್ಗ ಮೀಟರ್  
cm²	ವರ್ಗ ಸೆಂಟಿಮೀಟರ್  
mm²	ವರ್ಗ ಮಿಲಿಮೀಟರ್  
km²	ವರ್ಗ ಕಿಲೋಮೀಟರ್  
hm²	ವರ್ಗ ಹೆಕ್ಟೋಮೀಟರ್  
dm²	ವರ್ಗ ಡೆಸಿಮೀಟರ್  
dam²	ವರ್ಗ ಡೆಕಾಮೀಟರ್  
yd²	ವರ್ಗ ಗಜ  
ft²	ವರ್ಗ ಅಡಿ  
ac²	ವರ್ಗ ಎಕರೆ  
my²	ವರ್ಗ ಮಿರಿಯಾಮೀಟರ್  
mi²	ವರ್ಗ ಮೈಲು  
nm²	ವರ್ಗ ನ್ಯಾನೋಮೀಟರ್  
µm²	ವರ್ಗ ಮೈಕ್ರೋಮೀಟರ್  
in²	ವರ್ಗ ಇಂಚು  
my³	ಘನ ಮಿರಿಯಾಮೀಟರ್  
mi³	ಘನ ಮೈಲು  
ac³	ಘನ ಎಕರೆ  
ha	ಹೆಕ್ಟೇರ್  
ac	ಎಕರೆ  
ಗಜ	ಗಜ  
ಗಜ²	ವರ್ಗ ಗಜ  
ಗಜ³	ಘನ ಗಜ  
m³	ಘನ ಮೀಟರ್  
cm³	ಘನ ಸೆಂಟಿಮೀಟರ್  
mm³	ಘನ ಮಿಲಿಮೀಟರ್  
dam³	ಘನ ಡೆಕಾಮೀಟರ್  
µm³	ಘನ ಮೈಕ್ರೋಮೀಟರ್  
ml³	ಘನ ಮಿಲಿಲೀಟರ್  
l	ಲೀಟರ್  
kl	ಕಿಲೋಲೀಟರ್  
ml	ಮಿಲಿಲೀಟರ್  
ml²	ವರ್ಗ ಮಿಲಿಲೀಟರ್  
dl	ಡೆಸಿಲೀಟರ್  
hl	ಹೆಕ್ಟೋಲೀಟರ್  
cl	ಸೆಂಟಿಲೀಟರ್  
dal	ಡೆಕಾಲೀಟರ್  
dl²	ವರ್ಗ ಡೆಸಿಲೀಟರ್  
dal²	ವರ್ಗ ಡೆಕಾಲೀಟರ್  
dl³	ಘನ ಡೆಸಿಲೀಟರ್  
dal³	ಘನ ಡೆಕಾಲೀಟರ್  
L	ಲೀಟರ್  
kL	ಕಿಲೋಲೀಟರ್  
mL	ಮಿಲಿಲೀಟರ್  
mL²	ವರ್ಗ ಮಿಲಿಲೀಟರ್  
mL³	ಘನ ಮಿಲಿಲೀಟರ್  
dL	ಡೆಸಿಲೀಟರ್  
hL	ಹೆಕ್ಟೋಲೀಟರ್  
cL	ಸೆಂಟಿಲೀಟರ್  
daL	ಡೆಕಾಲೀಟರ್  
dL²	ವರ್ಗ ಡೆಸಿಲೀಟರ್  
daL²	ವರ್ಗ ಡೆಕಾಲೀಟರ್  
dL³	ಘನ ಡೆಸಿಲೀಟರ್  
daL³	ಘನ ಡೆಕಾಲೀಟರ್  
GB	ಗಿಗಾಬೈಟ್  
in³	ಘನ ಇಂಚು  
ft³	ಘನ ಅಡಿ  
yd³	ಘನ ಗಜ  
my³	ಘನ ಮಿರಿಯಾಮೀಟರ್  
mi³	ಘನ ಮೈಲು  
dm³	ಘನ ಡೆಸಿಮೀಟರ್  
dm³	ಘನ ಡೆಸಿಮೀಟರ್  
km³	ಘನ ಕಿಲೋಮೀಟರ್  
nm³	ಘನ ನ್ಯಾನೋಮೀಟರ್  
mm³	ಘನ ಮಿಲಿಮೀಟರ್  
qt	ಕ್ವಾರ್ಟ್  
gal	ಗ್ಯಾಲನ್  
pt	ಪಿಂಟ್  
W	ವಾಟ್  
MW	ಮೆಗಾವಾಟ್  
KW	ಕಿಲೋವಾಟ್  
b	ಬಿಟ್  
Mb	ಮೆಗಾಬಿಟ್  
B	ಬೈಟ್  
GB	ಗಿಗಾಬೈಟ್  
KB	ಕಿಲೋಬೈಟ್  
TB	ಟೆರಾಬೈಟ್  
MB	ಮೆಗಾಬೈಟ್  
PB	ಪೆಟಾಬೈಟ್  
EB	ಎಕ್ಸಾಬೈಟ್  
ZB	ಜೆಟಾಬೈಟ್  
YB	ಯೋಟಾಬೈಟ್  
BB	ಬ್ರೋಂಟೋಬೈಟ್  
C	ಕುಲಾಂಬ್  
V	ವೋಲ್ಟ್  
Pa	ಪಾಸ್ಕಲ್  
A	ಅಂಪಿಯರ್  
J	ಜೌಲ್  
s	ಸೆಕೆಂಡ್  
hr	ಘಂಟೆ  
h	ಘಂಟೆಗಳು  
min	ನಿಮಿಷ  
ha	ಹೆಕ್ಟೇರ್  
ha²	ವರ್ಗ ಹೆಕ್ಟೇರ್  
Ω	ಓಮ್  
MΩ	ಮೆಗಾಓಮ್  
doz	ದರ್ಜನ್  
Hz	ಹರ್ಟ್ಜ್  
GHz	ಗಿಗಾಹರ್ಟ್ಜ್  
KHz	ಕಿಲೋಹರ್ಟ್ಜ್  
N	ನ್ಯೂಟನ್  
dB	ಡೆಸಿಬೆಲ್  
yr	ವರ್ಷ  
yr	ವರ್ಷ  
hp	ಹಾರ್ಸ್‌ಪವರ್  
d	ದಿನ  
month	ತಿಂಗಳು  
months	ತಿಂಗಳುಗಳು  
ct	ಕ್ಯಾರೆಟ್  
pH	ಪಿಹೆಚ್  
km/hr	ಕಿಲೋಮೀಟರ್ ಪ್ರತಿ ಗಂಟೆ  
km/min	ಕಿಲೋಮೀಟರ್ ಪ್ರತಿ ನಿಮಿಷ  
m/hr	ಮೀಟರ್ ಪ್ರತಿ ಗಂಟೆ  
mi/s	ಮೈಲು ಪ್ರತಿ ಸೆಕೆಂಡ್  
mi/hr	ಮೈಲು ಪ್ರತಿ ಗಂಟೆ  
mi/min	ಮೈಲು ಪ್ರತಿ ನಿಮಿಷ  
₹/ac	ರೂಪಾಯಿಗಳು ಪ್ರತಿ ಎಕರೆ  
x	ಗುಣಿಸಿ  
X	ಗುಣಿಸಿ  
*	ಗುಣಿಸಿ  
-	ಇಂದ  
